,date,startup,vertical,subvertical,city,investor,round,amount
437,2017-12-11,Logic Roots,tech,Educational Platform to Learn Mathematics,mumbai,Village Capital,Seed/Angel,0.4
438,2017-12-11,Project Mudra,tech,Assisting Visually Impaired to learn through Braille,bangalore,Village Capital,Seed/Angel,0.4
439,2017-12-11,Furlenco,tech,Furniture Rental Platform,bangalore,Aamir Khan,DebtFunding,9.6
440,2017-12-12,I Can Stay,tech,Hotel Aggregator Platform,delhi,HT Media,PrivateEquity,14.4
441,2017-12-12,Fracktal Works,tech,Platform based on 3D printing and Digital Manufacturing,bangalore,Hyderabad Angels,Seed/Angel,0.0
442,2017-12-12,Simility,tech,Adaptive Fraud Intelligence Platform,hyderabad,Accel Partners,PrivateEquity,140.0
443,2017-12-12,Shopholix,ecommerce,Fashion and Lifestyle Coupon Platform,delhi,Munesh Khanna,Seed/Angel,1.864
444,2017-12-13,MindTickle,tech,Gamification Platform to train Sales People,pune,Canaan Partners,PrivateEquity,216.0
445,2017-12-13,Nazara Technologies,tech,Mobile Games Development Firm,mumbai,Rakesh Jhunjhunwala,PrivateEquity,216.0
446,2017-12-13,DocsApp,tech,Mobile Application for Doctor Consultation,bangalore,Bessemer Venture Partners,PrivateEquity,57.6
447,2017-12-13,Capita World,tech,Artificial Intelligence Platform to Raise Funds,mumbai,"Mohan Tanksale, Kiran Shetty, Darshak Shah, Mandar Mhatre",PrivateEquity,0.0
448,2017-12-14,Tea Box,ecommerce,Fresh Indian Tea Selling Platform across 112 countries,bangalore,RB Investments,PrivateEquity,56.0
449,2017-12-14,Transversal Technologies,tech,Hyperlocal Video Information Sharing Platform,bangalore,Matrix Partners,PrivateEquity,48.0
450,2017-12-14,Curofy,tech,Mobile App for Network of Doctors,delhi,RoundGlass Partners LLC,Seed/Angel,2.0
451,2017-12-14,HomeLane,ecommerce,Online Furniture Marketplace,bangalore,"Accel Partners, Sequoia Capital, RB Investments",PrivateEquity,80.0
452,2017-12-14,WeDoSky,tech,Provides Business Insights using Drone Imaginary,delhi,Mumbai Angels Network,PrivateEquity,0.0
453,2017-12-15,Purplle,ecommerce,Beauty Products Online Marketplace,mumbai,"Mountain Pain Capital, Suncoast Investments",Seed/Angel,4.296
454,2017-12-15,Cash Suvidha,ecommerce,Online Micro-Lending Platform,delhi,undisclosed,DebtFunding,21.6
455,2017-12-18,Sky Met Weather,tech,Weather Forecast Platform,delhi,InsuResillience Investment Fund,PrivateEquity,0.0
456,2017-12-19,Springboard,tech,Online Courses and Mentoring from Experts,bangalore,"Costanoa, Learn Capital, Jyoti Bansal",PrivateEquity,76.0
457,2017-12-19,Peel Works,tech,SaaS based Big Data Analytics Platform,mumbai,Unilever Ventures,PrivateEquity,0.0
458,2017-12-19,9Stacks,tech,Online Poker Platform,delhi,"Swati Gupta, Purnima Khandelwal, Maheshwar Peri, Sanjay Singh",PrivateEquity,12.0
459,2017-12-20,Your Quote,tech,Vernacular and Video Content Platform,bangalore,"Axilor Ventures, E-City VEntures Atul Goel",PrivateEquity,8.0
460,2017-12-20,Spandana Sphoorty,fintech,Micro finance institution providing small ticket unsecured loans to women,hyderabad,"""Kedaraa Capital, Ontario Teachers\\'""",PrivateEquity,156.0
461,2017-12-21,Indus OS,tech,Regional Operating System for Smartphones,mumbai,Omidyar Network,PrivateEquity,32.0
462,2017-12-21,EasyEcom,ecommerce,Ecommerce enabler platform,bangalore,"Ambarish Gupta, Aneesh Reddy, Bold Ventures, Vona Investments",Seed/Angel,1.2
463,2017-12-21,IGP,ecommerce,Online Gifting Platform,uttar pradesh,Venture Catalysts,PrivateEquity,0.0
464,2017-12-26,Specsmakers,ecommerce,Online Spects Platform for Men and Women,chennai,Eight Roads Ventures India,PrivateEquity,80.0
465,2017-12-27,Garage On Road,ecommerce,Online vehicle service booking platform,delhi,Gaurav Gupta,PrivateEquity,0.0
466,2017-12-27,Foyr,tech,Realty Tech Startup solving real life Interior Designing problems,hyderabad,Jones Lang LaSalle,PrivateEquity,30.4
467,2017-11-02,Prest Loans,fintech,Business & SME Loans provider,delhi,"Manish Poddar, Arun Garg, Parmeshwar Sharma",Seed/Angel,4.56
468,2017-11-02,AadharAPI,tech,Aadhaar-based API provider,pune,CIO Angel Network,Seed/Angel,0.0
469,2017-11-02,FreshBoxx,ecommerce,Online Grocery Store,bangalore,Jayant Humbarwadi,Seed/Angel,0.0
470,2017-11-03,Vagupu,tech,Online Tutorial Marketplace,bangalore,Undisclosed Investors,Seed/Angel,8.0
471,2017-11-03,HalaPlay,ecommerce,Online Fantasy Games,mumbai,"Kae Capital Management, Nazara Technologies",Seed/Angel,0.0
472,2017-11-03,Kalpnik Technologies,tech,VR based Spiritual platform,bangalore,Venture Catalysts,Seed/Angel,4.0
473,2017-11-04,Hevo Data,tech,Real time data analytics & reporting,bangalore,IDG Ventures India,PrivateEquity,8.0
474,2017-11-06,Smart Karma,tech,Financial Technology Research Platform,bangalore,IDG Ventures India,PrivateEquity,0.0
475,2017-11-06,Leverage Edu,ecommerce,Online platform for Higher Education Services,delhi,"Alok Mittal, Deepak Jain, Ritesh Malik, Jim Schimdktke",Seed/Angel,0.0
476,2017-11-07,Crayon Data,tech,Customer Engagement Platform,delhi,Infosys co-founder Kris Gopalakrishnan,Seed/Angel,0.0
477,2017-11-07,DocTalk,tech,Doctor Patient Communication platform,mumbai,"Matrix Partners India, Khosla Ventures",PrivateEquity,40.0
478,2017-11-07,CoveIoT,tech,Wearable tech and Internet of Things platform,bangalore,"Titan Co Ltd, Tata Group\\xe2\\x80\\x99s watch and jewellery retailing firm",PrivateEquity,40.0
479,2017-11-08,TalentEdge,tech,Distance Education Learning Platform,bangalore,Lumis Partners,PrivateEquity,60.8
480,2017-11-08,Fisdom,fintech,Mutual Fund Investment App,bangalore,Quona Capital Management,PrivateEquity,24.0
481,2017-11-08,FarmLink,ecommerce,Online platform for Agricultural products,mumbai,"Pioneering Ventures, Syngenta AG",PrivateEquity,24.0
482,2017-11-08,OpenApp,tech,IoT based Tech Startup,bangalore,"Axilor Ventures, Kumar Vembu",PrivateEquity,28.8
483,2017-11-09,NoPaperForms,tech,Enrolment Management Platform,delhi,Info Edge,Seed/Angel,6.976
484,2017-11-09,Tilite Technologies Pvt,tech,Saas based Corporate Travel Management Solution,bangalore,Matrix Partners,Seed/Angel,0.0
485,2017-11-09,Mobiliz AR,tech,Augmented Reality based Tech platform,bangalore,"IDG Ventures, IDFC-Parampara Fund",PrivateEquity,0.0
486,2017-11-10,Qubole,tech,Big Data based analytics platform,bangalore,"Singtel, Innov8, Harmony Partners",PrivateEquity,200.0
487,2017-11-10,Happily Unmarried,ecommerce,Online Gifting platform,delhi,Wipro Consumer Care,PrivateEquity,0.0
488,2017-11-13,Universal Sportsbiz Pvt,ecommerce,Celebrity fashion accessories and merchandise,mumbai,Accel Partners,PrivateEquity,120.0
489,2017-11-14,Hungry Foal,ecommerce,Healthy & Nutrition based snacks online platform,delhi,GAIL India Ltd,Seed/Angel,0.0
490,2017-11-14,Active AI,tech,AI based FinTech platform,bangalore,Vertex Ventures,PrivateEquity,66.0
491,2017-11-15,Sumeru,tech,Banking Software License Platform,bangalore,Undisclosed Investors,Seed/Angel,7.2
492,2017-11-15,ElderAid Wellness,health,Social Healthcare Enterprise,bangalore,Rugmini Menon,Seed/Angel,0.0
493,2017-11-15,Omnia Information,tech,WiFi Analytics Platform,delhi,Omidyar Network,PrivateEquity,24.0
494,2017-11-15,Josh Talks,others,Storytelling platform,delhi,"Girish Mathrubootham, Apurva Chamaria, Rohit Chanana",PrivateEquity,0.0
495,2017-11-15,Reniso,tech,End-to-End property management for landlords living away,delhi,"Nishit Sharma, Alok Srivastava",Seed/Angel,0.0
496,2017-11-17,Kanhaiya,others,Storytelling platform,hyderabad,Undisclosed Investors,Seed/Angel,1.6
497,2017-11-17,Perspectico,tech,Placement preparation and career growth training platform,delhi,"SSCBS Innovation, Incubation Foundation (SIIF)",Seed/Angel,0.0
498,2017-11-20,ONN Bikes,tech,Self riding bike rental program,mumbai,Z Nation Lab,Seed/Angel,5.536
499,2017-11-21,Rapido,tech,Bike and Taxi pooling online platform,hyderabad,"Skycatcher Fund, Aravind Sanka",Seed/Angel,2.63384
500,2017-11-21,Heckyl,tech,Big Data Analytics Platform,mumbai,"Notion Capital, IDG Ventures",PrivateEquity,21.6
501,2017-11-21,Nuvepro,tech,Managed Cloud Environment Solutions,mumbai,1Crowd,Seed/Angel,3.2
502,2017-11-21,RedBook,tech,AI based pharmacy drugs insights platform,mumbai,"Vida Ventures, Dr. Aniruddha Malpani",Seed/Angel,2.0
503,2017-11-21,Portea,health,Healthcare facilities at doorstep,bangalore,"Sabre Partners, MEMG CDC",PrivateEquity,208.0
504,2017-11-21,Credit Mate,tech,Vehicle loan approval platform,mumbai,Paytm,PrivateEquity,0.0
505,2017-11-21,Epiq Capital,fintech,Tech based investor firm,mumbai,Global Institutional Investors,PrivateEquity,1600.0
506,2017-11-22,MiStay,tech,Online Hotel Reservation Platform,bangalore,Axilor Ventures,Seed/Angel,0.0
507,2017-11-23,WittyFeed,media_entertainment,Viral Content and storytelling platform,indore,Sandeep Aggarwal,Seed/Angel,0.0
508,2017-11-24,IDG Ventures,fintech,Venture Capitalist,bangalore,Uniliver Ventures,PrivateEquity,80.0
509,2017-11-24,TempGo,tech,IoT and SaaS based transportation platform,goa,Javelin StartupO Victory Fund,Seed/Angel,2.0
510,2017-11-27,Edelweiss,fintech,Diversified Financial,mumbai,Undisclosed investors,PrivateEquity,2160.0
511,2017-11-27,ERA,tech,Identity management platform,mumbai,Amit Patni,Seed/Angel,0.312
512,2017-11-27,Smaaash,tech,Virtual Reality based gaming platform,mumbai,Sixth Sense Ventures,PrivateEquity,30.4
513,2017-11-28,Chumbak,lifestyle_consumer,Designer-led consumer products,bangalore,Gaja Capital,PrivateEquity,104.0
514,2017-11-28,FR8,tech,Online Truck aggregator platform,chennai,IFMR Capital,DebtFunding,12.0
515,2017-11-28,MobieFit,health,Health and fitness based mobile App,goa,"NB Ventures, MediAssist",Seed/Angel,10.8
516,2017-11-28,Stanza Living,tech,Student accommodation platform,delhi,"Matrix PArtners, Accel",PrivateEquity,16.0
517,2017-10-03,ChqBook,ecommerce,Home Loans Aggregation platform,delhi,"Startup Buddy, Apurva Chamaria,Sachin Arora, Bharat Gupta, Amit Manocha",Seed/Angel,0.0
518,2017-10-03,HomeCapital,ecommerce,Home Loan Down payment assistance program,mumbai,Venture Catalysts,Seed/Angel,0.0
519,2017-10-03,Ola Cabs,ecommerce,App based cab hailing services,bangalore,"Tencent, Softbank Group",PrivateEquity,880.0
520,2017-10-04,Elanic,ecommerce,P2P platform for Fashion sales,bangalore,Digital Garage,Seed/Angel,0.0
521,2017-10-04,CollPoll,ecommerce,Education collaboration platform,bangalore,Sprout Angels,Seed/Angel,2.448
522,2017-10-04,PhonePe,ecommerce,Digital Wallet,bangalore,Flipkart,PrivateEquity,309.6
523,2017-10-05,Little Black Book,ecommerce,Local Recommendations and Discoveries Platform,delhi,"Blume Ventures, IDG Ventures & Indian Angel Network",PrivateEquity,8.0
524,2017-10-05,Oorjan,tech,rooftop solar platform,mumbai,Globevestor,Seed/Angel,3.6
525,2017-10-05,Zefo,ecommerce,Ecommerce Portal for Used Goods,bangalore,"Sequoia India, Helion Venture Partners, Beenext",PrivateEquity,73.6
526,2017-10-06,Yaantra,ecommerce,Mobile repair and Refurbishment platform,delhi,Carpediem Capital,PrivateEquity,24.8
527,2017-10-06,Farm Taaza,tech,Fresh Produce SCM company,bangalore,"Epsilon Venture Partners, Tara India Fund IV and others",PrivateEquity,64.0
528,2017-10-06,Drivezy,ecommerce,Self Drive car and bike rental platform,bangalore,"Das Capital, Axan Partners, Das Capital and IT Farm",PrivateEquity,80.0
529,2017-10-06,Slice Pay,ecommerce,Student Micro-financing platform,bangalore,"Das Capital, Simile Ventures",PrivateEquity,16.0
530,2017-10-09,Agrowave,tech,Agriculture Supply Chain management solutions,delhi,Daffodil Software,Seed/Angel,0.0
531,2017-10-09,MyGubbi,ecommerce,Home Interior Designing Seller,bangalore,"Firoze Irani, Vipul Parekh, Ananda Kallugadde, Rajesh K Murthy",PrivateEquity,21.6
532,2017-10-09,IBSFintech,tech,Treasury Risk Management Solution,bangalore,Shailesh Haribhakti,Seed/Angel,0.0
533,2017-10-09,Letsservice,ecommerce,Auto Service Logistics & SAAS platform,bangalore,Aequs Group,PrivateEquity,0.0
534,2017-10-09,OneStepUp,tech,Education Technology platform,delhi,Orient BlackSwan,Seed/Angel,2.688
535,2017-10-09,ThirdWatch,tech,AI-powered anti-fraud solutions,delhi,"Rahul Agarwalla, Keshav Sanghi, Batlivala & Karani Securities",Seed/Angel,0.0
536,2017-10-10,Parallel Dots,tech,AI-powered deep learning solutions,delhi,"Multipoint Capital,",PrivateEquity,11.2
537,2017-10-10,Easy Diner,ecommerce,online restaurant reservation platform,delhi,Saama Capital and DSG Consumer Partners,PrivateEquity,36.0
538,2017-10-11,Meesho,ecommerce,Online Reseller Network,bangalore,"SAIF Partners, YCombinator, Venture Highway",PrivateEquity,24.8
539,2017-10-11,StanPlus,transport_mobility,Medical Transportation Services,hyderabad,KStart Capital,PrivateEquity,8.8
540,2017-10-12,UCLID,tech,"Education Network for Institutions, teachers & Students",hyderabad,Undisclosed investors,Seed/Angel,1.88
541,2017-10-13,Policy Bazaar,ecommerce,Online insurance policy aggregator,delhi,"Wellington Management, DG Ventures India, True North",PrivateEquity,616.0
542,2017-10-13,Gapoon,ecommerce,home maintenance services platform,bangalore,"Vida Ventures, Snehal Mantri, Anshu Bahadur",Seed/Angel,2.0
543,2017-10-13,Chaayos,ecommerce,Online Chai ordering platform,delhi,Tiger Global Management,PrivateEquity,16.0
544,2017-10-16,KrazyBee,ecommerce,Micro-lending platform,bangalore,"Xiaomi Technologies, Shunwei Capital",PrivateEquity,64.0
545,2017-10-16,Renew Buy,ecommerce,Online Insurance Aggregator,delhi,Amicus Capital,PrivateEquity,73.6
546,2017-10-17,Fingerlix,ecommerce,Food Ordering Portal,bangalore,"Accel Partners, Zephyr Peacock",PrivateEquity,56.0
547,2017-10-18,Bank Bazaar,ecommerce,Online Financial Marketplace,chennai,Experian,PrivateEquity,56.0
548,2017-10-18,Hasura,tech,App building platform,chennai,"Nexus, GREE Ventures",PrivateEquity,0.0
549,2017-10-18,BlackBuck,transport_mobility,B2B Logistics provider,bangalore,Innoven Capital,PrivateEquity,61.6
550,2017-10-18,LenDen Club,ecommerce,Online peer-to-peer lending platform,mumbai,Undisclosed Investor,Seed/Angel,4.0
551,2017-10-23,Toppr,ecommerce,Mobile based learning app,mumbai,"SAIF Partners, Helion Ventures, FIL Capital Management",PrivateEquity,56.0
552,2017-10-23,RAW Pressery,food,Cold pressed Juice maker,mumbai,"DSG Consumer Partners, Sequoia Capital, Saama Capital",PrivateEquity,48.0
553,2017-10-23,Cashe,ecommerce,app-only lending platform,mumbai,IFMR Capital,DebtFunding,24.8
